Date,Open,High,Low,Close,Adj Close,Volume
2019-12-10,32.150002,32.439999,31.770000,31.910000,31.129669,3181300
2019-12-11,32.000000,32.209999,31.629999,31.850000,31.071136,2848300
2019-12-12,32.049999,32.340000,31.840000,32.230000,31.441845,1590100
2019-12-13,32.480000,32.689999,32.099998,32.520000,31.724754,1756000
2019-12-16,32.689999,32.730000,32.029999,32.029999,31.246733,1656600
2019-12-17,32.310001,32.720001,32.200001,32.540001,31.744257,2892900
2019-12-18,32.349998,33.799999,32.349998,33.799999,32.973450,7484300
2019-12-19,33.580002,34.299999,33.549999,34.299999,33.461224,4735400
2019-12-20,33.599998,33.770000,33.110001,33.320000,32.944721,6030500
2019-12-23,33.310001,33.990002,33.270000,33.990002,33.607182,1732700
2019-12-26,33.799999,34.470001,33.730000,34.349998,33.963123,1599600
2019-12-27,34.500000,34.619999,33.980000,34.130001,33.745594,1649500
2019-12-30,34.130001,34.869999,33.980000,34.070000,33.686272,1808100
2020-01-02,34.340000,35.439999,34.150002,35.439999,35.040844,2820100
2020-01-03,34.939999,35.689999,34.759998,34.869999,34.492519,5540600
2020-01-06,34.560001,34.869999,33.950001,34.669998,34.294689,4845200
2020-01-07,34.669998,34.790001,33.959999,34.080002,33.711079,1720400
2020-01-08,34.080002,34.349998,33.410000,33.560001,33.196709,2453100
2020-01-09,33.560001,33.930000,32.810001,33.230000,32.870281,2522800
2020-01-10,33.250000,33.459999,32.400002,32.650002,32.296555,1908300
2020-01-13,32.750000,33.189999,32.720001,33.049999,32.692223,2069400
2020-01-14,32.959999,33.119999,32.590000,33.119999,32.761471,2083600
2020-01-15,32.849998,32.980000,32.259998,32.360001,32.009697,2436400
2020-01-16,32.639999,33.090000,32.450001,32.889999,32.533966,2007900
2020-01-17,32.959999,33.639999,32.959999,33.580002,33.216499,1579600
2020-01-20,33.599998,33.599998,32.980000,33.060001,32.702126,1128100
2020-01-21,33.000000,33.000000,31.910000,31.910000,31.564571,2875500
2020-01-22,32.279999,32.480000,31.809999,32.180000,31.831644,1564600
2020-01-23,31.950001,33.200001,31.740000,33.049999,32.692223,3087800
2020-01-24,33.060001,33.060001,32.400002,32.869999,32.514175,1659500
2020-01-27,32.240002,32.490002,32.000000,32.000000,31.653595,1803400
2020-01-28,32.380001,32.400002,31.910000,32.080002,31.732733,1686300
2020-01-29,32.200001,32.369999,31.330000,31.400000,31.060089,2621500
2020-01-30,31.139999,31.900000,30.879999,31.700001,31.356842,2316200
2020-01-31,31.150000,31.450001,30.860001,31.350000,31.010633,4746900
2020-02-03,31.400000,31.870001,31.240000,31.580000,31.238142,2849000
2020-02-04,32.189999,32.279999,31.480000,31.680000,31.352627,2591200
2020-02-05,32.700001,32.889999,32.259998,32.259998,31.926632,4224200
2020-02-06,32.340000,32.810001,31.690001,31.809999,31.481283,2279700
2020-02-07,31.629999,32.299999,31.490000,31.709999,31.382318,3182600
2020-02-10,31.840000,32.230000,31.629999,31.879999,31.550558,3009500
2020-02-11,32.320000,32.750000,32.209999,32.750000,32.411568,3282800
2020-02-12,32.730000,32.759998,31.959999,32.279999,31.946424,5474000
2020-02-13,32.099998,32.099998,31.309999,31.520000,31.194283,2382800
2020-02-14,31.250000,31.510000,30.639999,30.670000,30.353062,2361800
2020-02-17,30.790001,30.889999,30.500000,30.500000,30.184820,1382300
2020-02-18,30.100000,30.650000,29.750000,30.270000,30.009266,2817900
2020-02-19,30.120001,30.920000,29.889999,30.450001,30.187714,2744300
2020-02-20,30.600000,30.740000,29.760000,29.760000,29.503660,3578800
2020-02-21,29.500000,29.680000,29.110001,29.370001,29.117020,3187800
2020-02-26,29.500000,29.680000,29.110001,29.370001,29.117020,3187800
2020-02-27,26.900000,27.930000,26.650000,26.650000,26.420446,6464800
2020-02-28,26.780001,27.500000,26.469999,27.290001,27.054935,8180900
2020-03-02,27.290001,27.780001,26.920000,27.610001,27.372181,5592600
2020-03-03,27.200001,27.780001,26.910000,27.150000,26.931437,5566100
2020-03-04,27.549999,27.600000,26.799999,27.360001,27.139748,3498600
2020-03-05,26.930000,27.160000,26.230000,26.549999,26.336269,3970400
2020-03-06,25.400000,26.280001,25.360001,25.709999,25.503027,4093900
2020-03-09,24.330000,24.500000,23.100000,23.190001,23.003317,7626200
2020-03-10,24.250000,24.750000,22.840000,23.860001,23.667923,7786100
2020-03-11,23.000000,23.450001,21.080000,21.969999,21.793137,7222700
2020-03-12,20.010000,20.469999,18.799999,19.170000,19.015678,6008000
2020-03-13,22.049999,22.900000,19.639999,22.299999,22.120480,9961400
2020-03-16,20.000000,21.500000,19.100000,19.100000,18.946238,9656500
2020-03-17,19.740000,21.370001,19.100000,20.320000,20.156422,13825200
2020-03-18,19.100000,19.830000,17.709999,18.680000,18.529623,12180000
2020-03-19,18.010000,18.840000,16.959999,18.030001,17.884859,11899200
2020-03-20,18.680000,18.900000,16.740000,16.990000,16.853226,10684100
2020-03-23,17.299999,17.320000,15.460000,15.680000,15.553773,6014900
2020-03-24,17.290001,18.299999,16.870001,17.889999,17.745979,5133600
2020-03-25,17.600000,20.440001,17.570000,19.309999,19.154552,5561500
2020-03-26,19.850000,20.450001,19.260000,19.990000,19.829075,6546800
2020-03-27,18.920000,19.580000,18.620001,18.830000,18.678415,5996400
2020-03-30,18.990000,19.389999,18.680000,19.250000,19.095034,5294800
2020-03-31,18.930000,19.240000,18.350000,18.809999,18.658577,5287300
2020-04-01,17.860001,18.170000,17.500000,17.990000,17.845175,4872700
2020-04-02,17.980000,18.670000,17.750000,18.389999,18.257870,6209800
2020-04-03,18.000000,18.190001,16.680000,17.670000,17.543045,6238400
2020-04-06,18.500000,19.850000,18.480000,19.459999,19.320183,6008200
2020-04-07,21.299999,21.360001,20.309999,20.540001,20.392426,7916700
2020-04-08,18.636400,19.381800,18.518200,19.009100,18.872522,5128420
2020-04-09,19.200001,19.736401,18.799999,18.799999,18.664927,5208280
2020-04-13,18.927299,19.309099,18.345501,19.309099,19.170370,4562910
2020-04-14,20.000000,20.379999,19.670000,19.780001,19.637884,6143700
2020-04-15,19.549999,19.629999,19.000000,19.000000,18.863489,6042700
2020-04-16,19.200001,19.440001,18.520000,18.629999,18.496145,5494500
2020-04-17,19.150000,19.299999,18.469999,18.870001,18.734423,3666100
